time,value
0.457503748822603,1.7361145303e-06
1.102293619523337,4.5508791746e-06
1.7182123019837263,6.9468828212e-06
2.2667648785500205,9.3058825505e-06
2.892307290423858,1.17527665835e-05
3.527473431711144,1.41950251267e-05
4.16263957299843,1.66627238631e-05
4.797805714285715,1.91219425352e-05
5.432971855573001,2.15218007565e-05
6.108853775147921,2.39679731756e-05
6.75623464992151,2.63893577142e-05
7.391400791208795,2.8645054841e-05
8.03878166598237,3.09659832323e-05
8.755379363844938,3.33534475133e-05
9.414974972104815,3.56704620287e-05
10.131572669967396,3.79796487924e-05
10.831884056514909,4.03402750675e-05
11.572911221350084,4.27898022374e-05
12.313938386185242,4.51375686346e-05
13.054965551020402,4.73544997528e-05
13.755276937567928,4.95568936177e-05
14.522905077551016,5.18634711307e-05
15.27804704552591,5.41361283863e-05
16.01907421036107,5.63821340109e-05
16.774216178335948,5.85321937641e-05
17.571702555729985,6.06827380925e-05
18.453877751962324,6.29575153641e-05
19.294149626373624,6.53679736659e-05
20.094723616954468,6.78738326921e-05
21.068645033594976,7.01634500764e-05
21.901922518950443,7.20750988766e-05
22.718564700605512,7.42629554883e-05
23.5352068822606,7.65121916136e-05
24.48795609419152,7.87396218591e-05
25.440705306122453,8.08539845794e-05
26.508137293563596,8.29937874929e-05
27.278837624090187,8.49326385776e-05
28.35188345368917,8.72796120338e-05
29.378735382103585,8.90468574519e-05
30.40861191119085,9.13151535314e-05
31.58064467189953,9.39060885282e-05
32.74511593092622,9.61633274849e-05
33.9095871899529,9.84113154622e-05
35.074058448979585,0.0001004650328736
36.23852970800628,0.0001024447424503
37.403000967032966,0.000104396699089
38.56747222605965,0.0001063301537691
39.73194348508635,0.0001083561182425
40.89641474411303,0.0001101970631293
42.060886003139714,0.0001119362472434
43.22535726216641,0.0001136476784196
44.38982852119308,0.0001154423684097
45.55429978021978,0.0001169502780406
46.71877103924648,0.0001185877013821
47.883242298273146,0.0001201048619923
49.04771355729984,0.0001216312735818
50.21218481632654,0.0001230836773367
51.37665607535321,0.0001243418105256
52.54112733437991,0.0001257942142805
53.70559859340658,0.0001271541082421
54.87006985243328,0.0001284769982864
56.03454111145997,0.000129725880496
57.19901237048664,0.0001310210176023
58.36348362951334,0.0001322143939359
59.52795488854004,0.0001332782565589
60.69242614756671,0.0001345178877892
61.85689740659341,0.0001355632484536
63.0213686656201,0.0001366363620559
64.18583992464677,0.0001376724717409
65.35031118367347,0.0001386438245706
66.51478244270017,0.000139661432297
67.67925370172684,0.0001405865302301
68.84372496075353,0.0001414561222871
70.0081962197802,0.0001423812202202
71.1726674788069,0.0001432693142359
72.3371387378336,0.0001441481572723
73.50160999686027,0.0001449252395361
74.66608125588697,0.0001456930708205
75.83055251491366,0.0001464516511256
76.99502377394033,0.0001472379843687
78.15949503296703,0.0001479410587978
79.32396629199373,0.000148477615599
80.4884375510204,0.0001490141724002
81.6529088100471,0.0001500132781679
82.81738006907379,0.0001506423447623
83.98185132810046,0.0001512806623361
85.14632258712716,0.0001518819759926
86.31079384615383,0.0001525295445458
87.47526510518053,0.0001530753523263
88.63973636420722,0.0001536489130448
89.80420762323389,0.0001544629992259
90.9686788822606,0.0001547960344817
92.13315014128727,0.0001552123285516
93.29762140031396,0.0001557858892701
94.46209265934066,0.0001562206852987
95.62656391836737,0.0001566832342652
96.79103517739402,0.0001571920381284
97.95550643642072,0.0001575713282809
99.11997769544742,0.0001580431282268
100.28444895447409,0.000158468673276
101.44892021350078,0.0001588202104905
102.24287789010988,0.0001591023653601
