time,value
664.912571245052,2.407252775316421
666.0387170666966,2.385429443698513
666.9388908020849,2.341597049980848
668.1777131160545,2.3197891959030947
669.7520885005746,2.2101153463680028
670.0919752823684,2.27609610004682
670.5395857436378,2.166267475110182
670.986577103301,2.034460743154092
672.230042679317,2.1774886917222247
673.3623795170233,2.375446430298833
673.8158714435515,2.474409822046981
675.5029233203967,2.364751450052044
676.0678535360375,2.4197741053014443
676.9664795174103,2.320996444035149
677.7521194556549,2.2112142517189746
679.2178425082901,2.2443826202701587
680.0112212166121,2.409326765697129
681.0253096475377,2.4094660635585186
682.144026249908,2.123905447707198
683.1612101888647,2.2339352806658432
684.1759177213966,2.2560526855466847
685.0819729220435,2.421012308513808
686.8912973661096,2.6520300728605197
687.7846609838298,2.3664385019288883
689.1392552981555,2.4545366604885483
689.8125282948781,2.3557280441419444
691.1618602455512,2.257012293036265
692.0648199381673,2.3120813809061325
693.1925135138273,2.345203316836857
693.985582671346,2.499158408754097
694.9978137974532,2.433363385557133
695.7905734041689,2.576329423964648
696.802804530276,2.510534400767685
698.3675838399004,2.060199892431097
698.8306718413243,2.4998239429807416
700.1756700807541,2.2472614427389037
701.769547165869,2.8298979643165296
701.9744697975151,2.104651387754945
703.4565990427142,2.720239592321592
703.6686413428314,2.247741246483695
705.3714803106342,2.6985246034847687
705.8091851462048,2.2370462662369057
707.1715182306076,2.599870762539709
708.0976942334555,3.479118863639002
708.9635078297006,2.2155015303417827
710.4168488502122,1.8091077585039412
711.5473283831001,1.9411311760221963
712.3351351769663,1.9082723582740968
712.9074946118814,2.227032297756917
714.129291631681,1.6008265006442528
715.039061441965,1.897654765728081
716.043553797995,1.557133404787976
717.0610472877546,1.6781522912563496
717.9581255151119,1.5244293624414276
719.0882954971967,1.6454637264499574
720.2187750300844,1.7774871439682087
720.6651472881415,1.6237023049926655
722.0169556452392,1.612898981964797
723.0338300333927,1.711939761413717
724.0503948707432,1.799991487352912
724.9474730981005,1.6462685585379937
726.076714427776,1.7343357620173414
727.3189418005796,1.8334074965465736
728.1089154500676,1.87747205336656
729.0112560410773,1.9105630342169704
729.9086438192378,1.7678291589117734
731.036956496504,1.8229292018619496
731.939606638317,1.8670092362220885
732.8441140849485,1.9770235916405772
