time,value
0.5263730512242564,-0.0264271908793839
0.8756001520323071,-0.0346492003543729
1.575565114528921,-0.037173389015737
2.1774586616965887,-0.0376011758878565
2.851078242468118,-0.0375616431391808
3.606996910940799,-0.0344466212207192
4.239345142248871,-0.0321724059517574
4.927620731803971,-0.0271039966477862
5.615820791022227,-0.0222867257138359
6.303794259229937,-0.0182228698899483
6.991649036908312,-0.0145536600760937
7.679557764827296,-0.010705065712224
8.36786572452676,-0.0055290256782438
9.055979463360048,-0.0009987700243174
9.743985301712115,0.003172716529579
10.465982189434444,0.0085872710383915
11.12530402208449,0.0131934425197744
11.816888781064415,0.017554850797346
12.441279626923544,0.0210489161269581
13.197531584281998,0.0252721235906205
13.887511758055703,0.0302853482887063
14.560738313352628,0.0347409984670519
15.233138505107007,0.0389202538555957
15.93665287962368,0.042761079384818
16.624669508023878,0.0469684428487175
17.312459545413525,0.0504223912025542
18.009012129501215,0.0533566394576924
18.24951587947508,0.0523420756389172
18.76545513259154,0.0577254117652487
19.438099025289915,0.0602437088034328
19.90763741057604,0.0645625267206443
